Prakrit, 137, 90, 92, 93, 115, 90, 78, 82, 86, 88, 79, 81, 77, 75
Dhamma, 103, 91, 91, 85, 89, 85, 84, 85, 80, 85, 75, 75, 75, 74, 77, 78
United Ashoka, 46, 29, 29, 35, 26, 29, 23, 24, 31, 23, 18, 20, 19, 21, 18, 22
Rashtriya Swag Sangh, 6, 4, 4, 3, 4, 4, 4
Incredibly Sexy Irresistible Swagmasters, 19, 19, 10, 7, 7
NOTA, 7, 7
